Scan report for folder: C:\TimerHavenWebsite\ar

calendar\calendar-index.html  -> best: utf8 (tokens=0)  all: [(0, 'utf8'), (0, 'utf16'), (0, 'rt_from_1256'), (0, 'rt_from_1252'), (0, 'utf8_ftfy'), (2, 'cp1256'), (2, 'cp1252'), (2, 'iso8859')]
calendar-planning\calendar-planning-index.html  -> best: utf8 (tokens=0)  all: [(0, 'utf8'), (0, 'utf16'), (0, 'rt_from_1256'), (0, 'rt_from_1252'), (0, 'utf8_ftfy'), (44, 'cp1256'), (51, 'cp1252'), (51, 'iso8859')]
calendar-planning\index.html  -> best: utf8 (tokens=0)  all: [(0, 'utf8'), (0, 'utf16'), (0, 'rt_from_1256'), (0, 'rt_from_1252'), (0, 'utf8_ftfy'), (16, 'cp1256'), (18, 'cp1252'), (18, 'iso8859')]
clipboard-manager\clipboard-manager-index.html  -> best: utf8 (tokens=0)  all: [(0, 'utf8'), (0, 'utf16'), (0, 'rt_from_1256'), (0, 'rt_from_1252'), (0, 'utf8_ftfy'), (2, 'cp1256'), (2, 'cp1252'), (2, 'iso8859')]
countdown\countdown-index.html  -> best: utf8 (tokens=0)  all: [(0, 'utf8'), (0, 'utf16'), (0, 'rt_from_1256'), (0, 'rt_from_1252'), (0, 'utf8_ftfy'), (2, 'cp1256'), (2, 'cp1252'), (2, 'iso8859')]
currency\currency-index.html  -> best: utf8 (tokens=0)  all: [(0, 'utf8'), (0, 'utf16'), (0, 'rt_from_1256'), (0, 'rt_from_1252'), (0, 'utf8_ftfy'), (2, 'cp1256'), (2, 'cp1252'), (2, 'iso8859')]
focus-music\focus-music-index.html  -> best: utf8 (tokens=0)  all: [(0, 'utf8'), (0, 'utf16'), (0, 'rt_from_1256'), (0, 'rt_from_1252'), (0, 'utf8_ftfy'), (2, 'cp1256'), (2, 'cp1252'), (2, 'iso8859')]
habit-tracker\habit-tracker-index.html  -> best: utf8 (tokens=0)  all: [(0, 'utf8'), (0, 'utf16'), (0, 'rt_from_1256'), (0, 'rt_from_1252'), (0, 'utf8_ftfy'), (2, 'cp1256'), (2, 'cp1252'), (2, 'iso8859')]
meeting-planner\meeting-planner-index.html  -> best: utf8 (tokens=0)  all: [(0, 'utf8'), (0, 'utf16'), (0, 'rt_from_1256'), (0, 'rt_from_1252'), (0, 'utf8_ftfy'), (2, 'cp1256'), (2, 'cp1252'), (2, 'iso8859')]
notes\index.html  -> best: utf8 (tokens=0)  all: [(0, 'utf8'), (0, 'utf16'), (0, 'rt_from_1256'), (0, 'rt_from_1252'), (0, 'utf8_ftfy'), (12, 'cp1256'), (14, 'cp1252'), (14, 'iso8859')]
notes\notes-index.html  -> best: utf8 (tokens=0)  all: [(0, 'utf8'), (0, 'utf16'), (0, 'rt_from_1256'), (0, 'rt_from_1252'), (0, 'utf8_ftfy'), (2, 'cp1256'), (2, 'cp1252'), (2, 'iso8859')]
password-generator\password-generator-index.html  -> best: utf8 (tokens=0)  all: [(0, 'utf8'), (0, 'utf16'), (0, 'rt_from_1256'), (0, 'rt_from_1252'), (0, 'utf8_ftfy'), (2, 'cp1256'), (2, 'cp1252'), (2, 'iso8859')]
pomodoro\pomodoro-index.html  -> best: utf8 (tokens=0)  all: [(0, 'utf8'), (0, 'utf16'), (0, 'rt_from_1256'), (0, 'rt_from_1252'), (0, 'utf8_ftfy'), (2, 'cp1256'), (2, 'cp1252'), (2, 'iso8859')]
pomodoro-timer\index.html  -> best: utf8 (tokens=0)  all: [(0, 'utf8'), (0, 'utf16'), (0, 'rt_from_1256'), (0, 'rt_from_1252'), (0, 'utf8_ftfy'), (16, 'cp1256'), (19, 'cp1252'), (19, 'iso8859')]
stopwatch\stopwatch-index.html  -> best: utf8 (tokens=0)  all: [(0, 'utf8'), (0, 'utf16'), (0, 'rt_from_1256'), (0, 'rt_from_1252'), (0, 'utf8_ftfy'), (2, 'cp1256'), (2, 'cp1252'), (2, 'iso8859')]
task-timer\index.html  -> best: utf8 (tokens=0)  all: [(0, 'utf8'), (0, 'utf16'), (0, 'rt_from_1256'), (0, 'rt_from_1252'), (0, 'utf8_ftfy'), (14, 'cp1256'), (18, 'cp1252'), (18, 'iso8859')]
task-timer\task-timer-index.html  -> best: utf8 (tokens=0)  all: [(0, 'utf8'), (0, 'utf16'), (0, 'rt_from_1256'), (0, 'rt_from_1252'), (0, 'utf8_ftfy'), (2, 'cp1256'), (2, 'cp1252'), (2, 'iso8859')]
unit-converter\unit-converter-index.html  -> best: utf8 (tokens=0)  all: [(0, 'utf8'), (0, 'utf16'), (0, 'rt_from_1256'), (0, 'rt_from_1252'), (0, 'utf8_ftfy'), (40, 'cp1256'), (58, 'cp1252'), (58, 'iso8859')]
weather\weather-index.html  -> best: utf8 (tokens=0)  all: [(0, 'utf8'), (0, 'utf16'), (0, 'rt_from_1256'), (0, 'rt_from_1252'), (0, 'utf8_ftfy'), (2, 'cp1256'), (2, 'cp1252'), (2, 'iso8859')]
world-clock\world-clock-index.html  -> best: utf8 (tokens=0)  all: [(0, 'utf8'), (0, 'utf16'), (0, 'rt_from_1256'), (0, 'rt_from_1252'), (0, 'utf8_ftfy'), (2, 'cp1256'), (2, 'cp1252'), (2, 'iso8859')]

TOTAL FILES: 20
FILES WITH TOKENS: 0
